epoch,train_loss,val_loss
1,0.6905068755149841,0.6854798197746277
2,0.6854755282402039,0.6805803775787354
3,0.6805449724197388,0.676188051700592
4,0.6761408448219299,0.6729918718338013
5,0.6729570627212524,0.6712836623191833
6,0.6712665557861328,0.6708064675331116
7,0.6707306504249573,0.6656854152679443
8,0.6656454801559448,0.6604511737823486
9,0.6603685617446899,0.6553301215171814
10,0.6552525758743286,0.6505729556083679
11,0.6504942178726196,0.646428644657135
12,0.6462967991828918,0.6431024074554443
13,0.6429793238639832,0.6407084465026855
14,0.6405990123748779,0.639235258102417
15,0.639080286026001,0.6385374665260315
16,0.6383864283561707,0.6383560299873352
17,0.6382170915603638,0.6306201219558716
18,0.6304548978805542,0.6225869655609131
19,0.6223131418228149,0.6152084469795227
20,0.6149196028709412,0.610811173915863
21,0.6102796196937561,0.6140692830085754
22,0.613261342048645,0.621387779712677
23,0.6202843189239502,0.6215606927871704
24,0.6203741431236267,0.617915689945221
25,0.6170393228530884,0.6143521666526794
26,0.6135848164558411,0.612068772315979
27,0.6113110780715942,0.6109128594398499
28,0.6103586554527283,0.610447347164154
29,0.6099261045455933,0.6103259921073914
30,0.6098682284355164,0.6103430986404419
31,0.6099520325660706,0.6103962659835815
32,0.6100857853889465,0.6104437708854675
33,0.6101804971694946,0.6104742884635925
34,0.6100516319274902,0.610489547252655
35,0.6099920868873596,0.6104950904846191
36,0.6101416945457458,0.6104961037635803
37,0.6100953221321106,0.6106353998184204
38,0.6102717518806458,0.6107248067855835
39,0.6103760004043579,0.610733687877655
40,0.6103658080101013,0.6106607913970947
41,0.6103215217590332,0.6105278134346008
42,0.610042929649353,0.6103672981262207
43,0.6099936366081238,0.6102147698402405
44,0.609782874584198,0.6100993156433105
45,0.6096237301826477,0.6100373268127441
46,0.6095804572105408,0.6100283265113831
47,0.6094613075256348,0.6100568175315857
48,0.609611451625824,0.6100984811782837
49,0.6095514893531799,0.6101297736167908
50,0.6096936464309692,0.6101345419883728
51,0.6097640991210938,0.610110342502594
52,0.6095651984214783,0.6100645065307617
53,0.6094990968704224,0.6100074648857117
54,0.6095561385154724,0.6099500060081482
55,0.6094585657119751,0.6098995208740234
56,0.6095535755157471,0.6098598837852478
57,0.609501838684082,0.6098310947418213
58,0.6094371676445007,0.6098116040229797
59,0.6094438433647156,0.6097986102104187
60,0.6093899011611938,0.6097898483276367
61,0.609260082244873,0.6097832918167114
62,0.6093243360519409,0.6097776293754578
63,0.6093675494194031,0.609772264957428
64,0.6093704104423523,0.609766960144043
65,0.6093493700027466,0.6097619533538818
66,0.6093432903289795,0.6097571849822998
67,0.6092928647994995,0.6097527146339417
68,0.6093282699584961,0.609748899936676
69,0.6092785596847534,0.6097456812858582
70,0.6093325018882751,0.6097431182861328
71,0.6094105839729309,0.6097411513328552
72,0.6092984080314636,0.6097397208213806
